Date,Time,Download,Upload,Ping
Jul-26,00:32,10.41,5.5,19.95,1532565147.039262
Jul-26,09:29,9.64,4.84,17.81,1532597385.269764,182926
Jul-26,09:33,10.28,3.79,14.87,1532597591.21068,180726
Jul-26,09:36,10.38,5.25,15.27,1532597770.8279233,180726
Jul-26,09:39,10.31,5.34,17.41,1532597948.6734784,180726
Jul-26,09:42,10.44,5.36,14.76,1532598130.639114,180726
Jul-26,09:45,10.42,5.28,14.72,1532598310.8832312,180726
Jul-26,09:48,10.22,5.45,15.26,1532598488.3924346,180726
Jul-26,09:51,10.44,4.88,14.69,1532598662.880718,180726
Jul-26,09:54,10.43,5.46,15.29,1532598843.5222218,180726
Jul-26,10:12,10.23,5.39,17.32,1532599934.4436831,180726
Jul-26,10:22,10.04,3.9,19.04,1532600535.9705603,180726
Jul-26,10:27,10.3,5.0,15.23,1532600857.505248,180726
Jul-26,10:58,10.14,4.22,19.01,1532602730.6137486,180726
Jul-26,11:01,10.05,5.32,14.38,1532602876.5769374,180726
Jul-26,11:03,9.76,5.28,16.03,1532603030.6828897,180726
Jul-26,11:23,10.23,5.4,17.61,1532604227.0177426,180726
Jul-26,11:27,10.35,5.26,14.77,1532604476.631854,180726
Jul-26,11:29,9.87,4.53,14.84,1532604572.2883961,180726
Jul-26,11:30,10.04,2.77,15.23,1532604644.2362022,180726
Jul-26,11:38,9.88,2.57,16.77,1532605129.9941113,180726
Jul-26,11:51,9.99,3.33,69,1532605876.7639236,180726
Jul-26,11:54,9.99,3.33,69,1532606051.186055,180726
Jul-26,11:54,9.99,3.33,69,1532606071.492225,180726
Jul-26,11:55,9.99,3.33,69,1532606101.1540222,180726
Jul-26,11:55,9.99,3.33,69,1532606136.7971144,180726
Jul-26,11:56,9.99,3.33,69,1532606211.6810396,180726
